geometry_id,load_case,L2_rel_u,MAE_u,R2_u,p50_u,p90_u,p95_u,p99_u,L2_rel_vm,MAE_vm,R2_vm,p50_vm,p90_vm,p95_vm,p99_vm,L2_rel_vm_ip,MAE_vm_ip,R2_vm_ip,p50_vm_ip,p90_vm_ip,p95_vm_ip,p99_vm_ip
51,Compression,1.3378,0.00539128,0.999544,0.4644,0.9174,1.0869,1.4847,10.2028,128608.2711592,0.90791,1.2157,5.4894,8.051,14.0808,9.3256,118154.29649927,0.921769,1.1258,4.729,7.136,12.7124
51,Lateral bending,1.3683,0.00616535,0.999584,0.5612,1.075,1.2623,1.6466,14.2171,444946.53535866,0.886574,0.987,4.2365,5.9133,13.0966,14.1015,440508.92976472,0.892955,0.8602,3.8208,5.3527,11.7329
52,Compression,1.8383,0.00794586,0.998988,0.6343,1.3913,1.7625,2.5355,8.3931,89085.15206639,0.951951,1.3424,4.2479,6.046,10.1995,7.7219,82810.03474774,0.959085,1.2063,3.5962,4.9827,8.5968
52,Lateral bending,2.6753,0.01521173,0.997882,1.4466,2.4783,2.7735,3.3079,14.3225,286230.93432424,0.914547,1.2814,3.8558,6.1936,11.2178,14.2892,284854.71766903,0.917119,1.1278,3.4384,5.5201,10.3823
53,Compression,1.6187,0.00685177,0.999324,0.5696,1.1853,1.4463,2.0762,10.184,134642.01831496,0.927323,1.7469,5.488,7.5812,12.2026,9.5886,126775.46545862,0.934828,1.6008,4.8516,6.6967,11.4814
53,Lateral bending,2.0779,0.01068849,0.998917,0.9651,1.8947,2.1833,2.7477,15.6222,404788.01615993,0.882582,1.4218,4.6381,6.767,14.5871,15.4307,400933.38608346,0.889334,1.2523,4.1325,6.088,13.1616
54,Compression,1.3267,0.00603045,0.999462,0.5133,1.0025,1.1761,1.5373,7.802,68277.40733653,0.952257,1.1688,3.8545,5.8025,10.2258,6.9952,61588.77226665,0.961244,1.021,3.1545,4.6277,8.2837
54,Lateral bending,1.6312,0.00848072,0.999268,0.772,1.4935,1.7283,2.1821,12.8275,235206.41816012,0.92837,1.0543,3.2476,5.1481,9.4731,12.728,232048.02691871,0.931516,0.9281,2.8789,4.6035,8.7528
55,Compression,1.4071,0.00611882,0.999422,0.5104,1.055,1.2915,1.7492,8.9386,76864.68523918,0.936718,1.1984,4.6898,7.0057,12.193,8.1134,70581.88208906,0.947323,1.0907,3.8516,5.9093,10.3192
55,Lateral bending,1.5246,0.00746219,0.999395,0.6344,1.4337,1.6703,2.1318,14.2694,247626.12114896,0.90596,0.8499,3.7435,6.6975,11.4778,14.0576,244999.3282889,0.912042,0.7473,3.3663,6.0432,10.3215
56,Compression,1.7651,0.00673112,0.999184,0.5552,1.1833,1.4482,2.0678,12.0308,144801.72547923,0.863633,1.5686,6.6821,9.2963,16.4261,10.944,133873.11441008,0.885162,1.4507,5.7594,8.2397,14.3107
56,Lateral bending,1.7517,0.00771126,0.999321,0.7197,1.2973,1.489,1.9175,17.3021,573184.42679555,0.830383,1.54,5.415,7.4155,13.9434,17.0788,567131.97998657,0.842489,1.3322,4.8845,6.6691,12.4383
